"id","pairing_id","rank_code","count"
"2222","1","1","1"
"3","10","CPT","1"
"4","10","FO","1"
"5","11","CPT","1"
"6","11","FO","1"
"7","12","CPT","1"
"8","12","FO","1"
"9","13","CPT","1"
"10","13","FO","1"
"11","14","CPT","1"
"12","14","FO","1"
"13","15","CPT","1"
"14","15","FO","1"
"15","16","CPT","1"
"16","16","FO","1"
"17","17","CPT","1"
"18","17","FO","1"
"19","18","CPT","1"
"20","18","FO","1"
"21","19","CPT","1"
"22","19","FO","1"
"23","20","CPT","1"
"24","20","FO","1"
"25","21","CPT","1"
"26","21","FO","1"
"27","22","CPT","1"
"28","22","FO","1"
"29","23","CPT","1"
"30","23","FO","1"
"31","24","CPT","1"
"32","24","FO","1"
"33","25","CPT","1"
"34","25","FO","1"
"35","26","CPT","1"
"36","26","FO","1"
"37","27","CPT","1"
"38","27","FO","1"
"39","28","CPT","1"
"40","28","FO","1"
"41","29","CPT","1"
"42","29","FO","1"
"43","30","CPT","1"
"44","30","FO","1"
"45","31","CPT","1"
"46","31","FO","1"
"47","32","CPT","1"
"48","32","FO","1"
"49","33","CPT","1"
"50","33","FO","1"
"51","34","CPT","1"
"52","34","FO","1"
"53","35","CPT","1"
"54","35","FO","1"
"55","36","CPT","1"
"56","36","FO","1"
"57","37","CPT","1"
"58","37","FO","1"
"59","38","CPT","1"
"60","38","FO","1"
"61","39","CPT","1"
"62","39","FO","1"
"63","40","CPT","1"
"64","40","FO","1"
"65","41","CPT","1"
"66","41","FO","1"
"67","42","CPT","1"
"68","42","FO","1"
"69","43","CPT","1"
"70","43","FO","1"
"71","44","CPT","1"
"72","44","FO","1"
"73","45","CPT","1"
"74","45","FO","1"
"75","46","CPT","1"
"76","46","FO","1"
"77","47","CPT","1"
"78","47","FO","1"
"79","48","CPT","1"
"80","48","FO","1"
"81","49","CPT","1"
"82","49","FO","1"
"83","50","CPT","1"
"84","50","FO","1"
"85","51","CPT","1"
"86","51","FO","1"
"87","52","CPT","1"
"88","52","FO","1"
"89","53","CPT","1"
"90","53","FO","1"
"91","54","CPT","1"
"92","54","FO","1"
"93","55","CPT","1"
"94","55","FO","1"
"95","56","CPT","1"
"96","56","FO","1"
"97","57","CPT","1"
"98","57","FO","1"
"99","58","CPT","1"
"100","58","FO","1"
"101","59","CPT","1"
"102","59","FO","1"
"103","60","CPT","1"
"104","60","FO","1"
"105","61","CPT","1"
"106","61","FO","1"
"107","62","CPT","1"
"108","62","FO","1"
"109","63","CPT","1"
"110","63","FO","1"
"111","64","CPT","1"
"112","64","FO","1"
"113","65","CPT","1"
"114","65","FO","1"
"115","66","CPT","1"
"116","66","FO","1"
"117","67","CPT","1"
"118","67","FO","1"
"119","68","CPT","1"
"120","68","FO","1"
"121","69","CPT","1"
"122","69","FO","1"
"123","70","CPT","1"
"124","70","FO","1"
"125","71","CPT","1"
"126","71","FO","1"
"127","72","CPT","1"
"128","72","FO","1"
"129","73","CPT","1"
"130","73","FO","1"
"131","74","CPT","1"
"132","74","FO","1"
"133","75","CPT","1"
"134","75","FO","1"
"135","76","CPT","1"
"136","76","FO","1"
"137","77","CPT","1"
"138","77","FO","1"
"139","78","CPT","1"
"140","78","FO","1"
"141","79","CPT","1"
"142","79","FO","1"
"143","80","CPT","1"
"144","80","FO","1"
"145","81","CPT","1"
"146","81","FO","1"
"147","82","CPT","1"
"148","82","FO","1"
"149","83","CPT","1"
"150","83","FO","1"
"151","84","CPT","1"
"152","84","FO","1"
"153","85","CPT","1"
"154","85","FO","1"
"155","86","CPT","1"
"156","86","FO","1"
"157","87","CPT","1"
"158","87","FO","1"
"159","88","CPT","1"
"160","88","FO","1"
"161","89","CPT","1"
"162","89","FO","1"
"163","90","CPT","1"
"164","90","FO","1"
"165","91","CPT","1"
"166","91","FO","1"
"167","92","CPT","1"
"168","92","FO","1"
"169","93","CPT","1"
"170","93","FO","1"
"171","94","CPT","1"
"172","94","FO","1"
"173","95","CPT","1"
"174","95","FO","1"
"175","96","CPT","1"
"176","96","FO","1"
"177","97","CPT","1"
"178","97","FO","1"
"179","98","CPT","1"
"180","98","FO","1"
"181","99","CPT","1"
"182","99","FO","1"
"183","100","CPT","1"
"184","100","FO","1"
"185","101","CPT","1"
"186","101","FO","1"
"187","102","CPT","1"
"188","102","FO","1"
"189","103","CPT","1"
"190","103","FO","1"
"191","104","CPT","1"
"192","104","FO","1"
"193","105","CPT","1"
"194","105","FO","1"
"195","106","CPT","1"
"196","106","FO","1"
"197","107","CPT","1"
"198","107","FO","1"
"199","108","CPT","1"
"200","108","FO","1"
"201","109","CPT","1"
"202","109","FO","1"
"203","110","CPT","1"
"204","110","FO","1"
"205","111","CPT","1"
"206","111","FO","1"
"211","116","CPT","1"
"212","116","FO","1"
"213","116","CPT","1"
"214","116","FO","1"
"215","122","CPT","1"
"216","122","FO","1"
"217","123","CPT","1"
"218","123","FO","1"
"235","147","CPT","1"
"236","147","FO","1"
"237","148","CPT","1"
"238","148","FO","1"
"241","159","CPT","1"
"242","159","FO","1"
"243","160","CPT","1"
"244","160","FO","1"
"249","163","CPT","1"
"250","163","FO","1"
"251","165","CPT","1"
"252","165","FO","1"
"253","166","CPT","1"
"254","166","FO","1"
"255","167","CPT","1"
"256","167","FO","1"
"257","168","CPT","1"
"258","168","FO","1"
"259","169","CPT","1"
"260","169","FO","1"
"261","170","CPT","1"
"262","170","FO","1"
"263","171","CPT","1"
"264","171","FO","1"
"265","172","CPT","1"
"266","172","FO","1"
"267","173","CPT","1"
"268","173","FO","1"
"283","181","CPT","1"
"284","181","FO","1"
"285","182","CPT","1"
"286","182","FO","1"
"287","183","CPT","1"
"288","183","FO","1"
"289","184","CPT","1"
"290","184","FO","1"
"311","196","CPT","1"
"312","196","FO","1"
"313","197","CPT","1"
"314","197","FO","1"
"333","208","CPT","1"
"334","208","FO","1"
"317","200","CPT","1"
"318","200","FO","1"
"319","202","CPT","1"
"320","202","FO","1"
"321","203","CPT","1"
"322","203","FO","1"
"323","204","CPT","1"
"324","204","FO","1"
"325","205","CPT","1"
"326","205","FO","1"
"327","206","CPT","1"
"328","206","FO","1"
"315","NULL","CPT","1"
"316","NULL","FO","1"
"331","199","CPT","2"
"332","199","FO","1"
"335","209","CPT","1"
"336","209","FO","1"
"337","210","CPT","1"
"338","210","FO","1"
"339","211","CPT","1"
"340","211","FO","1"
"341","212","CPT","1"
"342","212","FO","1"
"343","213","CPT","1"
"344","213","FO","1"
"345","215","CPT","1"
"346","215","FO","1"
"347","217","CPT","1"
"348","217","FO","1"
"349","218","CPT","1"
"350","218","FO","1"
"351","219","CPT","1"
"352","219","FO","1"
"353","220","CPT","1"
"354","220","FO","1"
"355","221","CPT","1"
"356","221","FO","1"
"357","222","CPT","1"
"358","222","FO","1"
"359","223","CPT","1"
"360","223","FO","1"
"361","224","CPT","1"
"362","224","FO","1"
"363","225","CPT","1"
"364","225","FO","1"
"365","226","CPT","1"
"366","226","FO","1"
"367","227","CPT","1"
"368","227","FO","1"
"369","228","CPT","1"
"370","228","FO","1"
"371","230","CPT","1"
"372","230","FO","1"
"373","231","CPT","1"
"374","231","FO","1"
"375","232","CPT","1"
"376","232","FO","1"
"377","236","CPT","1"
"378","236","FO","1"
"379","237","CPT","1"
"380","237","FO","1"
"381","238","CPT","1"
"382","238","FO","1"
"383","239","CPT","1"
"384","239","FO","1"
"385","241","CPT","1"
"386","241","FO","1"
"387","244","CPT","1"
"388","244","FO","1"
"391","246","CPT","1"
"392","246","FO","1"
"393","247","CPT","1"
"394","247","FO","1"
"395","251","CPT","1"
"396","251","FO","1"
"397","252","CPT","1"
"398","252","FO","1"
"399","253","CPT","1"
"400","253","FO","1"
"401","258","CPT","1"
"402","258","FO","1"
"403","262","CPT","1"
"404","262","FO","1"
"405","268","CPT","1"
"406","268","FO","1"
"407","271","CPT","1"
"408","271","FO","1"
"409","272","CPT","1"
"410","272","FO","1"
"411","274","CPT","1"
"412","274","FO","1"
"413","276","CPT","1"
"414","276","FO","1"
"415","277","CPT","1"
"416","277","FO","1"
"417","278","CPT","1"
"418","278","FO","1"
"419","279","CPT","1"
"420","279","FO","1"
"421","280","CPT","1"
"422","280","FO","1"
"423","281","CPT","1"
"424","281","FO","1"
"425","282","CPT","1"
"426","282","FO","1"
"427","283","CPT","1"
"428","283","FO","1"
"429","284","CPT","1"
"430","284","FO","1"
"431","285","CPT","1"
"432","285","FO","1"
"433","286","CPT","1"
"434","286","FO","1"
"435","287","CPT","1"
"436","287","FO","1"
"437","288","CPT","1"
"438","288","FO","1"
"439","289","CPT","1"
"440","289","FO","1"
"441","290","CPT","1"
"442","290","FO","1"
"443","291","CPT","1"
"444","291","FO","1"
"445","292","CPT","1"
"446","292","FO","1"
"447","293","CPT","1"
"448","293","FO","1"
"449","294","CPT","1"
"450","294","FO","1"
"451","295","CPT","1"
"452","295","FO","1"
"453","296","CPT","1"
"454","296","FO","1"
"455","297","CPT","1"
"456","297","FO","1"
"457","298","CPT","1"
"458","298","FO","1"
"459","299","CPT","1"
"460","299","FO","1"
"461","300","CPT","1"
"462","300","FO","1"
"491","326","CPT","1"
"492","326","FO","1"
"493","327","CPT","1"
"494","327","FO","1"
"495","329","CPT","1"
"496","329","FO","1"
"497","330","CPT","1"
"498","330","FO","1"
"499","332","CPT","1"
"500","332","FO","1"
"501","333","CPT","1"
"502","333","FO","1"
"503","339","CPT","1"
"504","339","FO","1"
"505","341","CPT","1"
"506","341","FO","1"
"507","342","CPT","1"
"508","342","FO","1"
"509","343","CPT","1"
"510","343","FO","1"
"511","344","CPT","1"
"512","344","FO","1"
"513","345","CPT","1"
"514","345","FO","1"
"515","350","CPT","1"
"516","350","FO","1"
"517","351","CPT","1"
"518","351","FO","1"
"519","354","CPT","1"
"520","354","FO","1"
"521","355","CPT","1"
"522","355","FO","1"
"523","356","CPT","1"
"389","NULL","CPT","1"
"390","NULL","FO","1"
"524","356","FO","1"
"525","357","CPT","1"
"526","357","FO","1"
"527","358","CPT","1"
"528","358","FO","1"
"529","359","CPT","1"
"530","359","FO","1"
"531","360","CPT","1"
"532","360","FO","1"
"533","361","CPT","1"
"534","361","FO","1"
"535","362","CPT","1"
"536","362","FO","1"
"537","363","CPT","1"
"538","363","FO","1"
"539","364","CPT","1"
"540","364","FO","1"
"541","365","CPT","1"
"542","365","FO","1"
"543","366","CPT","1"
"544","366","FO","1"
"545","367","CPT","1"
"546","367","FO","1"
"547","368","CPT","1"
"548","368","FO","1"
"549","369","CPT","1"
"550","369","FO","1"
"551","370","CPT","1"
"552","370","FO","1"
"553","371","CPT","1"
"554","371","FO","1"
"555","372","CPT","1"
"556","372","FO","1"
"557","373","CPT","1"
"558","373","FO","1"
"559","374","CPT","1"
"560","374","FO","1"
"561","375","CPT","1"
"562","375","FO","1"
"563","376","CPT","1"
"564","376","FO","1"
"565","377","CPT","1"
"566","377","FO","1"
"567","378","CPT","1"
"568","378","FO","1"
"569","NULL","CPT","1"
"570","NULL","FO","1"
"595","390","CPT","1"
"596","390","FO","1"
"571","380","CPT","1"
"572","380","FO","1"
"573","381","CPT","1"
"574","381","FO","1"
"575","382","CPT","1"
"576","382","FO","1"
"577","383","CPT","1"
"578","383","FO","1"
"579","384","CPT","1"
"580","384","FO","1"
"581","385","CPT","1"
"582","385","FO","1"
"583","386","CPT","1"
"584","386","FO","1"
"587","245","CPT","3"
"588","245","FO","1"
"591","387","CPT","1"
"592","387","FO","1"
"593","388","CPT","1"
"594","388","FO","1"
"597","392","CPT","1"
"598","392","FO","1"
"599","393","CPT","1"
"600","393","FO","1"
"601","396","CPT","1"
"602","396","FO","1"
"603","397","CPT","1"
"604","397","FO","1"
"605","398","CPT","1"
"606","398","FO","1"
"607","401","CPT","1"
"608","401","FO","1"
"609","402","CPT","1"
"610","402","FO","1"
"961","NULL","CPT","1"
"791","432","CPT","1"
"792","432","FO","1"
"795","436","CPT","1"
"796","436","FO","1"
"709","NULL","CPT","1"
"710","NULL","FO","1"
"838","NULL","CPT","1"
"839","NULL","FO","1"
"735","NULL","CPT","1"
"736","NULL","FO","1"
"854","456","CPT","1"
"855","456","FO","1"
"797","NULL","CPT","1"
"798","NULL","FO","1"
"856","457","CPT","1"
"857","457","FO","1"
"769","406","CPT","1"
"770","406","FO","1"
"962","NULL","FO","1"
"966","487","CPT","1"
"891","NULL","CPT","1"
"892","NULL","FO","1"
"938","483","CPT","1"
"939","483","FO","1"
"901","NULL","CPT","1"
"902","NULL","FO","1"
"940","483","CPTR","1"
"913","NULL","CPT","1"
"914","NULL","FO","1"
"921","479","CPT","1"
"922","479","FO","1"
"931","482","CPT","1"
"932","482","FO","1"
"967","487","FO","1"
"968","487","CPTR","1"
"941","NULL","CPT","1"
"942","NULL","FO","1"
"969","487","CPT2","1"
"985","490","CPT","1"
"986","490","FO","1"
"963","NULL","CPT","1"
"964","NULL","FO","1"
"965","NULL","CPTR","1"
"976","NULL","CPT","1"
"977","NULL","FO","1"
"611","NULL","CPT","1"
"612","NULL","FO","1"
"777","NULL","CPT","1"
"778","NULL","FO","1"
"836","NULL","CPT","1"
"837","NULL","FO","1"
"655","407","CPT","1"
"656","407","FO","1"
"649","NULL","CPT","1"
"650","NULL","FO","1"
"917","NULL","CPT","1"
"918","NULL","FO","1"
"725","NULL","CPT","1"
"726","NULL","FO","1"
"653","NULL","CPT","1"
"654","NULL","FO","1"
"667","NULL","CPT","1"
"668","NULL","FO","1"
"885","NULL","CPT","1"
"886","NULL","FO","1"
"842","NULL","CPT","1"
"843","NULL","FO","1"
"669","NULL","CPT","1"
"670","NULL","FO","1"
"844","NULL","CPT","1"
"845","NULL","FO","1"
"671","NULL","CPT","1"
"672","NULL","FO","1"
"683","408","CPT","1"
"684","408","FO","1"
"753","NULL","CPT","1"
"754","NULL","FO","1"
"771","NULL","CPT","1"
"772","NULL","FO","1"
"858","NULL","CPT","1"
"695","409","CPT","1"
"696","409","FO","1"
"697","410","CPT","1"
"698","410","FO","1"
"859","NULL","FO","1"
"887","470","CPT","1"
"888","470","FO","1"
"773","NULL","CPT","1"
"774","NULL","FO","1"
"978","489","CPT","1"
"979","489","FO","1"
"893","472","CPT","1"
"894","472","FO","1"
"781","NULL","CPT","1"
"782","NULL","FO","1"
"860","NULL","CPT","1"
"783","NULL","CPT","1"
"784","NULL","FO","1"
"861","NULL","FO","2"
"862","NULL","CPTR","1"
"785","NULL","CPT","1"
"786","NULL","FO","1"
"897","NULL","CPT","1"
"898","NULL","FO","1"
"787","NULL","CPT","1"
"788","NULL","FO","1"
"789","430","CPT","1"
"790","430","FO","1"
"793","435","CPT","1"
"794","435","FO","1"
"799","437","CPT","1"
"800","437","FO","1"
"701","NULL","CPT","1"
"702","NULL","FO","1"
"801","411","CPT","1"
"802","411","FO","1"
"803","441","CPT","1"
"804","441","FO","1"
"805","NULL","CPT","1"
"806","NULL","FO","1"
"863","NULL","CPT","1"
"864","NULL","FO","2"
"865","NULL","CPTR","1"
"866","NULL","CPT2","1"
"923","NULL","CPT","1"
"924","NULL","FO","1"
"807","NULL","CPT","1"
"808","NULL","FO","1"
"903","475","CPT","1"
"904","475","FO","1"
"867","458","CPT","1"
"868","458","FO","2"
"869","458","CPTR","1"
"870","458","CPT2","1"
"871","NULL","CPT","1"
"872","NULL","FO","1"
"873","NULL","CPT","1"
"874","NULL","FO","1"
"879","460","CPT","1"
"880","460","FO","1"
"881","468","CPT","1"
"882","468","FO","1"
"883","469","CPT","1"
"884","469","FO","1"
"905","NULL","CPT","1"
"906","NULL","FO","1"
"925","480","CPT","1"
"926","480","FO","1"
"907","NULL","CPT","1"
"908","NULL","FO","1"
"949","NULL","CPT","1"
"950","NULL","FO","1"
"909","476","CPT","1"
"910","476","FO","1"
"933","NULL","CPT","1"
"934","NULL","FO","1"
"915","NULL","CPT","1"
"916","NULL","FO","1"
"951","485","CPT","1"
"952","485","FO","1"
"943","484","CPT","1"
"944","484","FO","1"
"945","NULL","CPT","1"
"946","NULL","FO","1"
"970","NULL","CPT","1"
"971","NULL","FO","1"
"980","489","CPTR","1"
"981","489","CPT2","1"
"947","NULL","CPT","1"
"948","NULL","FO","1"
"972","488","CPT","1"
"973","488","FO","1"
"953","NULL","CPT","1"
"954","NULL","FO","1"
"955","NULL","CPT","1"
"956","NULL","FO","1"
"982","489","FO2","1"
"813","NULL","CPT","1"
"809","NULL","CPT","1"
"810","NULL","FO","1"
"814","NULL","FO","1"
"811","NULL","CPT","1"
"812","NULL","FO","1"
"848","403","CPT","1"
"849","403","FO","1"
"815","NULL","CPT","1"
"816","NULL","FO","1"
"850","442","CPT","1"
"817","NULL","CPT","1"
"818","NULL","FO","1"
"851","442","FO","1"
"819","NULL","CPT","1"
"820","NULL","FO","1"
"821","NULL","CPT","1"
"822","NULL","FO","1"
"875","NULL","CPT","1"
"876","NULL","FO","1"
"877","459","CPT","1"
"823","NULL","CPT","2"
"824","NULL","FO","2"
"825","NULL","CPTR","1"
"878","459","FO","1"
"889","471","CPT","1"
"890","471","FO","1"
"826","NULL","CPT","2"
"827","NULL","FO","2"
"828","NULL","CPTR","1"
"895","473","CPT","1"
"896","473","FO","1"
"829","443","CPT","2"
"830","443","FO","2"
"831","443","CPTR","1"
"832","444","CPT","1"
"833","444","FO","1"
"834","446","CPT","1"
"835","446","FO","1"
"899","474","CPT","1"
"900","474","FO","1"
"911","477","CPT","1"
"912","477","FO","1"
"919","478","CPT","1"
"920","478","FO","1"
"927","NULL","CPT","1"
"928","NULL","FO","1"
"929","481","CPT","1"
"930","481","FO","1"
"935","NULL","CPT","1"
"936","NULL","FO","1"
"937","NULL","CPTR","1"
"957","486","CPT","1"
"958","486","FO","1"
"959","NULL","CPT","1"
"960","NULL","FO","1"
"974","NULL","CPT","1"
"975","NULL","FO","1"
"983","NULL","CPT","1"
"984","NULL","FO","1"
